OBJECTID,Num_Cases,Address,xcoord,ycoord
"155",1,26 Darblay Street,-0.136081697176383,51.5145724387527
"156",1,1 Broadwick Street,-0.136024858971864,51.5135414061512
"157",2,33 Broadwick Street,-0.136158357060518,51.5134558642333
"158",1,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"159",5,10 Livonia Street,-0.136003727916481,51.5139744497743
"160",1,27 Lexington Street,-0.136111647427515,51.5128164218362
"161",1,38 Lexington Street,-0.136116500145209,51.5129231940588
"162",1,70 Berwick Street,-0.136034123900581,51.5148727244517
"163",2,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"164",1,30 Broadwick Street,-0.13575953073195,51.5136207827937
"165",1,7 Silver Place,-0.135977852593661,51.5130020847804
"166",1,36 Lexington Street,-0.135958204329815,51.5127685622175
"167",1,27 Darblay Street,-0.135997647715925,51.5145979794582
"168",3,16 Ingestre Place,-0.135976169675731,51.5135010528825
"169",3,1 Lexington Street,-0.135983471354664,51.5126919011153
"170",4,10 Livonia Street,-0.136003727916481,51.5139744497743
"171",1,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"172",2,1 Silver Place,-0.136120999107436,51.5128946411492
"173",1,7 Portland Mews,-0.135890978739113,51.5140615490481
"174",4,30 Broadwick Street,-0.13575953073195,51.5136207827937
"175",1,7 Silver Place,-0.135977852593661,51.5130020847804
"176",2,1 Lexington Street,-0.135926960086313,51.5126367347584
"177",4,35 Great Pulteney Street,-0.135863862475465,51.5119365817572
"178",2,1 Silver Place,-0.136120999107436,51.5128946411492
"179",1,1 Livonia Street,-0.13569492759631,51.5141322902297
"180",5,30 Broadwick Street,-0.13575953073195,51.5136207827937
"181",1,6 Silver Place,-0.135794426109469,51.5130607719895
"182",2,14 Livonia Street,-0.135655672658234,51.5140832100152
"183",1,1 Lexington Street,-0.135826099235658,51.5125375228012
"184",1,14 Ingestre Place,-0.135797329353955,51.513302769011
"185",2,2 Silver Place,-0.13557072292461,51.5130707035639
"186",2,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"187",1,24 Hollen Street,-0.135834749764499,51.5151528694121
"188",1,30 Broadwick Street,-0.13575953073195,51.5136207827937
"189",2,1 Livonia Street,-0.13569492759631,51.5141322902297
"190",1,6 Silver Place,-0.135794426109469,51.5130607719895
"191",3,14 Ingestre Place,-0.135797329353955,51.513302769011
"192",1,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"193",1,12 Ingestre Place,-0.135623232969645,51.5131006505067
"194",2,5 Silver Place,-0.135611002040385,51.5131194589741
"195",1,77 Berwick Street,-0.135671666439338,51.5144187278686
"196",2,34 Lexington Street,-0.135751801403222,51.5125669775352
"197",3,1 Great Pulteney Street,-0.13601869206478,51.5121757738469
"198",4,2 Silver Place,-0.13557072292461,51.5130707035639
"199",2,79 Berwick Street,-0.135578652398578,51.5143019321916
"200",1,34 Berwick Street,-0.13561930879864,51.5144764425104
"201",3,30 Broadwick Street,-0.13575953073195,51.5136207827937
"202",1,8 Ingestre Place,-0.135597562539824,51.5130694050093
"203",2,17 Wardour Mews,-0.135457981345223,51.5146865538671
"204",1,8 Ingestre Place,-0.135597562539824,51.5130694050093
"205",1,32 Berwick Street,-0.135513007671733,51.5143429624699
"206",3,20 Broadwick Street,-0.135377116215837,51.5137460605665
"207",1,1 Livonia Street,-0.13569492759631,51.5141322902297
"208",1,32 Berwick Street,-0.135513007671733,51.5143429624699
"209",5,20 Broadwick Street,-0.135377116215837,51.5137460605665
"210",1,8 Ingestre Place,-0.135597562539824,51.5130694050093
"211",3,82 Berwick Street,-0.135412990434977,51.5140990796432
"212",1,183 Wardour Street,-0.13534578212644,51.515160465865
"213",1,1 Lexington Street,-0.135470385628089,51.5121983045433
"214",1,1 Berwick Street,-0.13533520960268,51.5141248198376
"215",5,83 Berwick Street,-0.135297937877004,51.5139648197755
"216",2,8 Ingestre Place,-0.135597562539824,51.5130694050093
"217",1,1 Hopkins Street,-0.135367914554386,51.5135308608315
"218",1,1 Lexington Street,-0.135333130769117,51.5120816317258
"219",2,1 Berwick Street,-0.13533520960268,51.5141248198376
"220",1,1 Lexington Street,-0.135399314289035,51.5122306953726
"221",2,1 Kemp Court,-0.13513392052367,51.5135220182579
"222",1,13 Broadwick Street,-0.135335500582385,51.5136977410183
"223",1,172 Wardour Street,-0.135220524763075,51.5151225627488
"224",7,7 Ingestre Place,-0.134841048151935,51.5128507548412
"225",2,1 Kemp Court,-0.135089508249157,51.5134746726955
"226",1,13 Broadwick Street,-0.135335500582385,51.5136977410183
"227",2,23 Berwick Street,-0.13522026209426,51.5139906802844
"228",1,1 Hopkins Street,-0.135038436681016,51.5131674332436
"229",1,1 Kemp Court,-0.13513392052367,51.5135220182579
"230",1,1 Hopkins Street,-0.135038436681016,51.5131674332436
"231",1,1 Lexington Street,-0.135145602595859,51.5120263955591
"232",3,7 Ingestre Place,-0.134841048151935,51.5128507548412
"233",4,1 Lexington Street,-0.13509712262146,51.5119130803455
"234",5,1 Hopkins Street,-0.135038436681016,51.5131674332436
"235",2,1 Kemp Court,-0.13513392052367,51.5135220182579
"236",1,15 Hollen Street,-0.134926307691516,51.5154743639834
"237",1,1 Broadwick Street,-0.134979512065691,51.5138993696367
"238",3,1 Peter Street,-0.134828425072599,51.5125738950222
"239",1,20 Peter Street,-0.134784974015837,51.512526204959
"240",1,28 Brewer Street,-0.134663543462455,51.5120472245514
"241",1,7 Ingestre Place,-0.134841048151935,51.5128507548412
"242",3,89 Berwick Street,-0.134805562885158,51.5134185319763
"243",1,30 Brewer Street,-0.134836220770977,51.5119547278619
"244",1,18 Berwick Street,-0.134834053504868,51.5135633385787
"245",1,8 Broadwick Street,-0.134858083862767,51.5139996832923
"246",1,147 Wardour Street,-0.13480221340205,51.5144452439545
"247",2,20 Peter Street,-0.134784974015837,51.512526204959
"248",1,2 Sheraton Street,-0.13459362220288,51.514894509557
"249",1,3 Duck Lane,-0.13467391445183,51.5137329166172
"250",1,20 Peter Street,-0.134784974015837,51.512526204959
"251",1,20 Peter Street,-0.134784974015837,51.512526204959
"252",2,14 Berwick Street,-0.134678910789413,51.5133895398016
"253",1,3 Duck Lane,-0.13467391445183,51.5137329166172
"254",1,134 Wardour Street,-0.134682281265336,51.5144182104251
"255",1,13 Berwick Street,-0.134640344890666,51.5133456747401
"256",1,1 Hopkins Street,-0.134739798917873,51.5127460270666
"257",1,145 Wardour Street,-0.134629428606462,51.5142291052644
"258",2,11 Berwick Street,-0.134564300854135,51.5132582553857
"259",1,7 Broadwick Street,-0.134565220062613,51.5140282251313
"260",9,5 Greens Court,-0.134661355690742,51.5125830298823
"261",1,10 Berwick Street,-0.134526279056169,51.5132145438952
